cId,name,address,mail,tel,url
1234567890123,ナメック星株式会社,ナメック,namekkusei@dsgasdgfga.com,xxx-xxxx-xxxx,https://www.city.kitakyushu.lg.jp/index.html
0987654321098,惑星ベジータ株式会社,惑星ベジータ,bejita@greagere.com,111-2222-33333,https://www.city.kitakyushu.lg.jp/index.html
1122334455667,魔凶星株式会社,魔凶,makyousei@babrbaervr.com,444-5555-6666,https://www.city.kitakyushu.lg.jp/index.html
8899001122334,カナッサ星株式会社,カナッサ,kanassa@grgagarr.com,777-8888-9999,https://www.city.kitakyushu.lg.jp/index.html
5566778899001,惑星ミート株式会社,惑星ミート,mito@dgsdgag.com,123-4567-8901,https://www.city.kitakyushu.lg.jp/index.html
1133557799224,ヤードラット星株式会社,ヤードラット,yaroratto@dafbjhbsd.com,098-7654-3210,https://www.city.kitakyushu.lg.jp/index.html
8756263185676,メタモル星株式会社,メタモル,metamoru@faddfadbd.com,531-3123-3144,https://www.city.kitakyushu.lg.jp/index.html
4576356437567,惑星フリーザ株式会社,惑星フリーザ,huriza@ergrebebuhbu.com,614-8561-9171,https://www.city.kitakyushu.lg.jp/index.html
8927578065903,アーリア星株式会社,アーリア,aria@grauygari.com,574-1974-5718,https://www.city.kitakyushu.lg.jp/index.html
9257785661990,界王星株式会社,界王,kaiousei@vayvhieuirr.com,716-8561-4132,https://www.city.kitakyushu.lg.jp/index.html
